Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2/6/2014,33,100,9,20,8,6,32,0,12,9,12,0,45,8,10,25,8,21,15,60,16,11,9,17,15,0,0,21,18,53,15,28,8,11,58,7,10,6,8,0,20,0,6,7,0,0,14,6,66,15,0
2/7/2014,72,0,53,62,22,16,48,0,42,22,41,67,0,13,22,0,24,63,32,91,60,15,24,22,46,16,0,92,37,76,33,77,21,29,0,39,0,11,26,0,52,0,55,18,39,0,23,23,100,60,0
2/8/2014,20,0,16,34,9,13,15,0,26,8,9,36,67,17,12,31,13,17,23,0,22,14,9,9,0,18,0,33,19,39,20,0,16,21,0,15,15,18,13,0,17,100,17,10,22,0,15,8,0,15,0
2/9/2014,34,0,22,54,10,32,24,0,49,12,15,40,48,16,32,22,14,44,30,51,36,18,12,22,27,13,0,35,22,62,28,0,17,20,96,12,25,13,17,54,26,100,18,12,23,91,15,9,0,23,0
2/10/2014,19,0,33,34,7,18,21,0,14,9,16,27,31,13,25,14,9,12,0,33,16,10,12,9,17,19,0,23,0,0,23,28,21,21,63,24,0,7,18,0,17,0,14,12,15,0,23,16,37,15,100
2/11/2014,37,59,15,31,9,12,14,0,14,9,13,0,31,15,17,34,14,24,12,34,13,16,11,38,18,11,0,39,15,87,24,29,14,21,64,18,23,6,13,36,28,66,16,11,15,0,17,10,38,18,100
2/12/2014,34,81,20,65,12,17,28,73,22,8,5,0,0,26,0,0,25,32,33,0,40,27,27,21,48,17,0,32,20,38,28,0,14,8,87,25,24,6,13,0,66,0,38,14,62,79,13,6,100,10,0
2/13/2014,20,0,36,73,14,34,38,80,26,8,14,0,48,9,30,22,26,18,37,51,13,26,20,19,37,24,0,48,0,41,22,44,19,18,100,27,45,7,17,0,28,0,29,13,47,92,14,23,55,45,0
2/14/2014,23,0,29,82,10,10,17,87,29,11,5,0,53,16,24,0,13,19,31,56,32,11,17,18,30,21,94,39,23,0,22,51,8,26,0,20,38,7,10,0,30,0,31,9,26,100,12,0,60,21,0
2/15/2014,13,56,8,0,5,6,10,0,19,5,8,46,31,11,16,13,14,16,23,0,6,5,7,6,17,6,52,22,0,25,10,0,8,11,0,6,11,10,10,0,11,68,13,6,15,54,12,0,32,7,100
2/16/2014,18,85,13,68,5,9,15,0,29,6,16,0,0,25,35,29,13,15,35,50,9,24,6,18,0,9,0,32,0,75,20,44,18,14,0,19,16,7,19,50,33,100,10,11,24,0,16,30,0,30,0
2/17/2014,36,0,13,33,11,30,21,0,26,19,30,0,48,20,40,45,26,31,30,0,20,19,10,26,40,27,0,68,20,79,34,45,23,19,95,23,0,7,22,52,17,100,29,20,24,0,13,13,52,14,0
2/18/2014,23,0,19,29,15,18,27,0,39,18,13,0,0,18,18,0,27,23,16,0,35,16,19,29,58,21,100,29,17,36,24,38,22,14,82,16,20,12,26,45,25,85,23,15,0,0,20,24,47,19,0
2/19/2014,28,0,11,43,8,7,13,42,17,9,10,21,24,13,26,10,28,25,10,0,27,5,8,20,20,14,79,17,10,23,22,22,9,17,49,17,13,4,8,28,18,100,9,9,11,0,15,12,28,11,0
2/20/2014,38,0,9,36,16,19,17,0,47,21,18,42,0,20,33,19,58,34,0,57,33,13,6,39,0,10,82,71,41,45,52,0,18,25,0,23,0,7,40,85,45,100,12,18,24,0,27,24,0,16,0
2/21/2014,40,0,25,38,15,28,26,0,55,14,15,41,50,13,27,20,49,34,21,84,23,22,13,15,27,10,85,55,20,0,26,0,15,19,100,23,17,7,21,57,31,0,19,12,24,0,18,20,0,23,0
2/22/2014,47,0,37,0,16,50,52,0,50,16,16,66,77,26,42,30,29,26,31,82,18,23,14,16,43,15,0,57,0,67,32,0,11,40,0,24,0,16,25,84,100,0,20,15,0,0,19,23,88,18,0
2/23/2014,27,0,17,33,11,18,15,0,25,14,5,42,0,20,42,18,18,31,18,48,40,21,6,14,0,22,75,100,0,42,20,86,13,15,90,29,0,24,18,0,33,93,12,14,23,0,14,15,0,10,0
2/24/2014,37,0,6,23,13,12,21,0,16,13,12,0,65,17,34,13,13,23,13,0,18,17,23,20,0,19,54,23,0,31,29,30,17,10,0,25,39,7,19,37,29,0,16,19,32,65,16,29,0,0,100
2/25/2014,43,0,16,22,11,14,31,52,23,12,11,100,42,21,25,13,18,22,12,33,22,25,11,13,26,12,78,34,13,45,23,29,16,20,0,16,21,14,21,35,34,0,19,14,38,0,23,10,0,21,97
2/26/2014,37,61,9,90,9,6,37,0,22,6,12,60,64,10,29,13,26,11,12,34,10,10,12,13,72,16,0,35,13,31,27,0,20,18,0,29,11,12,19,0,12,0,8,11,31,64,20,23,0,14,100
