Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
3/8/2014,18,0,10,0,6,7,9,100,0,5,7,0,0,2,11,12,25,16,12,0,6,8,4,11,0,16,0,0,10,24,7,0,4,15,0,6,19,8,3,31,22,64,5,10,14,0,5,4,0,10,93
3/9/2014,0,0,14,36,6,7,0,41,25,4,8,0,23,6,20,11,11,9,25,0,10,9,3,24,16,5,0,18,19,0,6,0,5,8,100,6,17,7,10,0,10,55,7,6,0,44,9,4,0,6,0
3/10/2014,0,0,10,37,7,7,25,82,11,9,11,0,0,8,21,11,11,10,22,25,14,7,7,5,33,5,0,18,10,23,10,23,4,16,100,12,32,10,16,29,29,52,6,9,16,45,12,10,0,12,0
3/11/2014,34,0,22,70,15,16,24,80,21,14,35,39,0,15,43,21,19,19,31,0,17,21,14,23,65,13,0,49,19,43,25,44,10,36,95,24,46,20,21,55,36,100,24,19,23,85,25,15,0,22,0
3/12/2014,13,0,12,22,9,11,10,50,23,13,17,27,29,7,13,23,22,12,10,30,6,9,11,9,32,8,0,20,35,0,18,28,7,17,61,10,15,19,13,0,33,0,6,14,15,53,14,10,0,20,100
3/13/2014,13,0,12,44,9,5,0,0,12,10,21,56,29,10,22,0,22,37,25,0,13,10,8,6,36,6,0,0,12,0,16,28,6,12,0,9,19,9,10,0,40,0,10,13,15,0,13,7,0,7,100
3/14/2014,30,0,0,16,4,4,0,0,9,3,14,0,0,2,15,10,0,9,7,47,10,11,3,0,29,14,0,0,8,20,11,41,5,7,0,3,16,7,5,25,13,100,9,7,11,0,7,5,0,5,73
3/15/2014,41,0,43,33,5,8,16,0,21,6,16,40,46,8,26,21,0,18,15,0,21,8,9,9,0,14,0,57,0,39,23,44,6,10,0,14,40,29,6,50,25,100,15,10,23,0,13,9,0,21,0
3/16/2014,36,0,27,42,9,22,21,0,0,15,30,0,58,17,49,28,44,34,38,0,18,10,13,23,37,31,100,0,31,53,13,0,14,26,0,20,38,36,21,65,31,0,31,12,29,0,25,14,0,14,0
3/17/2014,36,0,18,21,7,14,21,47,13,7,20,0,29,9,14,14,28,18,30,0,10,8,8,10,38,9,100,19,20,28,12,39,6,23,0,9,18,18,12,50,48,0,21,16,19,0,11,14,0,14,0
3/18/2014,43,0,32,37,15,9,27,0,0,13,40,0,51,20,14,46,39,41,63,0,32,14,17,50,0,28,88,0,43,50,7,49,12,32,0,10,21,16,25,0,53,100,61,30,37,0,16,12,0,37,0
3/19/2014,12,0,3,11,5,3,5,25,9,3,14,14,15,5,11,13,11,8,14,0,3,4,4,6,0,6,0,10,12,0,3,14,3,11,32,3,12,0,5,16,8,0,11,8,0,28,7,5,0,9,100
3/20/2014,19,0,12,0,8,5,20,51,25,9,23,0,0,8,11,13,11,12,21,31,13,12,9,17,39,11,0,21,24,0,9,0,7,18,63,8,24,9,13,33,25,0,15,10,0,0,12,6,61,17,100
3/21/2014,22,0,0,37,9,17,17,0,23,19,22,0,0,11,20,0,41,19,0,0,11,6,6,9,0,26,83,67,0,0,22,47,5,19,100,9,36,0,14,0,17,0,30,9,23,0,12,11,0,12,0
3/22/2014,23,0,12,39,9,21,39,83,26,7,8,44,0,11,31,19,23,37,33,49,21,15,6,19,30,0,0,50,0,0,6,0,6,22,98,6,35,16,19,53,33,100,29,11,0,0,12,30,47,30,0
3/23/2014,0,0,9,39,10,12,31,0,30,9,16,31,0,9,13,12,21,17,32,0,10,10,16,6,0,7,0,0,12,0,8,0,5,18,63,20,29,22,4,68,58,0,10,8,0,0,21,10,0,22,100
3/24/2014,28,0,12,25,10,9,15,98,13,14,14,30,33,6,22,28,10,28,17,45,18,9,15,12,19,9,100,21,36,0,15,29,8,32,0,8,11,10,14,34,40,0,10,13,22,55,13,8,59,11,0
3/25/2014,23,0,19,41,12,28,24,79,21,18,28,48,52,17,40,50,23,37,16,100,35,16,13,24,46,17,0,35,19,45,17,46,5,20,0,9,48,16,22,53,82,99,20,24,92,0,24,16,73,19,0
3/26/2014,22,0,18,39,13,9,24,77,40,16,21,46,100,13,34,19,17,19,14,48,20,25,12,13,42,19,79,0,19,43,14,86,9,21,0,21,53,15,23,0,49,0,16,16,22,0,36,18,49,18,0
3/27/2014,0,0,19,82,13,14,28,85,42,14,21,47,0,16,32,40,35,20,29,52,14,13,13,9,28,17,0,34,40,47,19,46,11,16,100,15,44,31,18,0,29,0,24,25,23,93,26,21,53,23,0
3/28/2014,24,0,31,43,12,10,36,0,32,16,27,0,0,14,34,43,28,21,30,0,11,14,26,10,44,21,90,0,20,0,6,0,8,23,0,17,40,16,10,0,59,0,24,24,26,100,18,14,54,13,0
3/29/2014,22,0,18,41,3,17,0,82,26,7,17,44,0,8,27,0,0,19,14,100,20,9,13,19,28,10,0,36,18,43,6,0,7,23,98,6,0,20,11,52,22,0,20,13,38,0,16,16,0,0,0
3/30/2014,13,55,14,22,8,13,14,100,0,6,16,0,29,5,0,12,11,24,9,0,12,9,8,5,35,9,0,0,0,25,10,27,5,14,0,4,16,18,7,0,20,0,9,8,14,0,11,5,0,0,0
